Estimator: 000 | Epoch: 000 | Batch: 000 | Loss: 25.08252 | Correct: 4/64
Estimator: 000 | Epoch: 000 | Batch: 100 | Loss: 4.81717 | Correct: 18/64
Estimator: 000 | Epoch: 000 | Batch: 200 | Loss: 4.87534 | Correct: 14/64
Estimator: 000 | Epoch: 000 | Batch: 300 | Loss: 4.67832 | Correct: 9/64
Estimator: 000 | Epoch: 000 | Batch: 400 | Loss: 4.74271 | Correct: 14/64
Estimator: 000 | Epoch: 000 | Batch: 500 | Loss: 5.39838 | Correct: 17/64
Estimator: 000 | Epoch: 000 | Batch: 600 | Loss: 3.70862 | Correct: 13/64
Estimator: 000 | Epoch: 000 | Batch: 700 | Loss: 5.02584 | Correct: 11/64
Estimator: 000 | Epoch: 000 | Batch: 800 | Loss: 3.45048 | Correct: 14/64
Estimator: 000 | Epoch: 000 | Batch: 900 | Loss: 4.04514 | Correct: 18/64
Estimator: 000 | Epoch: 000 | Batch: 1000 | Loss: 5.03597 | Correct: 12/64
Estimator: 000 | Epoch: 000 | Batch: 1100 | Loss: 2.53306 | Correct: 11/64
Estimator: 000 | Epoch: 000 | Batch: 1200 | Loss: 4.83434 | Correct: 14/64
Estimator: 000 | Epoch: 000 | Batch: 1300 | Loss: 3.82358 | Correct: 9/64
Estimator: 000 | Epoch: 000 | Batch: 1400 | Loss: 3.60404 | Correct: 10/64
Estimator: 001 | Epoch: 000 | Batch: 000 | Loss: 17.57105 | Correct: 4/64
Estimator: 001 | Epoch: 000 | Batch: 100 | Loss: 6.00522 | Correct: 15/64
Estimator: 001 | Epoch: 000 | Batch: 200 | Loss: 8.26688 | Correct: 12/64
Estimator: 001 | Epoch: 000 | Batch: 300 | Loss: 6.70251 | Correct: 8/64
Estimator: 001 | Epoch: 000 | Batch: 400 | Loss: 4.44750 | Correct: 12/64
Estimator: 001 | Epoch: 000 | Batch: 500 | Loss: 9.62106 | Correct: 10/64
Estimator: 001 | Epoch: 000 | Batch: 600 | Loss: 5.47181 | Correct: 6/64
Estimator: 001 | Epoch: 000 | Batch: 700 | Loss: 5.22525 | Correct: 10/64
Estimator: 001 | Epoch: 000 | Batch: 800 | Loss: 4.19873 | Correct: 11/64
Estimator: 001 | Epoch: 000 | Batch: 900 | Loss: 2.81363 | Correct: 11/64
Estimator: 001 | Epoch: 000 | Batch: 1000 | Loss: 5.58623 | Correct: 14/64
Estimator: 001 | Epoch: 000 | Batch: 1100 | Loss: 4.36295 | Correct: 20/64
Estimator: 001 | Epoch: 000 | Batch: 1200 | Loss: 3.04059 | Correct: 19/64
Estimator: 001 | Epoch: 000 | Batch: 1300 | Loss: 4.87430 | Correct: 11/64
Estimator: 001 | Epoch: 000 | Batch: 1400 | Loss: 4.31884 | Correct: 12/64
Estimator: 002 | Epoch: 000 | Batch: 000 | Loss: 20.58953 | Correct: 5/64
Estimator: 002 | Epoch: 000 | Batch: 100 | Loss: 5.56941 | Correct: 16/64
Estimator: 002 | Epoch: 000 | Batch: 200 | Loss: 3.43527 | Correct: 11/64
Estimator: 002 | Epoch: 000 | Batch: 300 | Loss: 3.27414 | Correct: 19/64
Estimator: 002 | Epoch: 000 | Batch: 400 | Loss: 3.49542 | Correct: 9/64
Estimator: 002 | Epoch: 000 | Batch: 500 | Loss: 4.76760 | Correct: 11/64
Estimator: 002 | Epoch: 000 | Batch: 600 | Loss: 2.87592 | Correct: 19/64
Estimator: 002 | Epoch: 000 | Batch: 700 | Loss: 7.20265 | Correct: 5/64
Estimator: 002 | Epoch: 000 | Batch: 800 | Loss: 3.98937 | Correct: 8/64
Estimator: 002 | Epoch: 000 | Batch: 900 | Loss: 4.14750 | Correct: 8/64
Estimator: 002 | Epoch: 000 | Batch: 1000 | Loss: 2.99792 | Correct: 16/64
Estimator: 002 | Epoch: 000 | Batch: 1100 | Loss: 5.14556 | Correct: 10/64
Estimator: 002 | Epoch: 000 | Batch: 1200 | Loss: 3.15745 | Correct: 13/64
Estimator: 002 | Epoch: 000 | Batch: 1300 | Loss: 4.42176 | Correct: 10/64
Estimator: 002 | Epoch: 000 | Batch: 1400 | Loss: 3.33944 | Correct: 13/64
Estimator: 003 | Epoch: 000 | Batch: 000 | Loss: 27.58903 | Correct: 4/64
Estimator: 003 | Epoch: 000 | Batch: 100 | Loss: 6.59207 | Correct: 10/64
Estimator: 003 | Epoch: 000 | Batch: 200 | Loss: 4.17770 | Correct: 5/64
Estimator: 003 | Epoch: 000 | Batch: 300 | Loss: 5.37864 | Correct: 15/64
Estimator: 003 | Epoch: 000 | Batch: 400 | Loss: 4.69012 | Correct: 8/64
Estimator: 003 | Epoch: 000 | Batch: 500 | Loss: 4.42060 | Correct: 11/64
Estimator: 003 | Epoch: 000 | Batch: 600 | Loss: 3.35602 | Correct: 18/64
Estimator: 003 | Epoch: 000 | Batch: 700 | Loss: 3.27359 | Correct: 12/64
Estimator: 003 | Epoch: 000 | Batch: 800 | Loss: 3.68233 | Correct: 13/64
Estimator: 003 | Epoch: 000 | Batch: 900 | Loss: 5.02834 | Correct: 12/64
Estimator: 003 | Epoch: 000 | Batch: 1000 | Loss: 3.44605 | Correct: 17/64
Estimator: 003 | Epoch: 000 | Batch: 1100 | Loss: 3.04049 | Correct: 10/64
Estimator: 003 | Epoch: 000 | Batch: 1200 | Loss: 2.70913 | Correct: 9/64
Estimator: 003 | Epoch: 000 | Batch: 1300 | Loss: 2.44470 | Correct: 20/64
Estimator: 003 | Epoch: 000 | Batch: 1400 | Loss: 3.14747 | Correct: 16/64
Estimator: 004 | Epoch: 000 | Batch: 000 | Loss: 11.38060 | Correct: 5/64
Estimator: 004 | Epoch: 000 | Batch: 100 | Loss: 13.18655 | Correct: 8/64
Estimator: 004 | Epoch: 000 | Batch: 200 | Loss: 7.64191 | Correct: 5/64
Estimator: 004 | Epoch: 000 | Batch: 300 | Loss: 6.56450 | Correct: 13/64
