Wall time,Step,Value
1743039396.386821,0,0.028203165158629417
1743039522.8582504,1,0.02970411442220211
1743039655.9192655,2,0.022533433511853218
1743039795.0464664,3,0.026546113193035126
1743039919.577735,4,0.04261505976319313
1743040050.1328218,5,0.0247365552932024
1743040171.6515315,6,0.024590393528342247
1743040290.2668066,7,0.012290439568459988
1743040404.4158359,8,0.01208999939262867
1743040519.312784,9,0.012125542387366295
1743040637.7858436,10,0.012156430631875992
1743040753.5476058,11,0.012050729244947433
1743040872.0386133,12,0.011925228871405125
1743040989.6567523,13,0.011931301094591618
1743041106.775213,14,0.0119320722296834
1743041225.6942718,15,0.011704984121024609
1743041345.2690916,16,0.01192199345678091
1743041465.0836015,17,0.011686309240758419
1743041578.798127,18,0.011774322018027306
1743041691.8772988,19,0.011534304358065128
1743041804.776184,20,0.011701817624270916
1743041917.288449,21,0.011484494432806969
1743042031.0097327,22,0.011425429955124855
1743042144.1855557,23,0.011506928130984306
1743042262.6695733,24,0.011374004185199738
1743042377.5775037,25,0.011222247034311295
1743042492.654956,26,0.011384542100131512
1743042612.370942,27,0.011308672837913036
1743042730.549237,28,0.011380883865058422
1743042855.041216,29,0.011279082857072353
1743042982.8520114,30,0.010994307696819305
1743043104.8261387,31,0.01100127398967743
1743043229.670989,32,0.011031324975192547
1743043359.35217,33,0.011032765731215477
1743043484.8627203,34,0.010998432524502277
1743043611.3241198,35,0.010967060923576355
1743043735.9410582,36,0.010972937569022179
1743043858.0044684,37,0.010968800634145737
1743043978.6354086,38,0.010965210385620594
1743044099.82586,39,0.010965192690491676
1743044225.6040316,40,0.010969981551170349
1743044349.9105604,41,0.010962733067572117
1743044478.1078367,42,0.01096043735742569
1743044605.3819175,43,0.01096406765282154
1743044729.5519593,44,0.010962674394249916
1743044848.113193,45,0.010964890010654926
1743044969.5539935,46,0.010962633416056633
1743045092.9357715,47,0.010962054133415222
1743045219.308521,48,0.01095888763666153
1743045344.946868,49,0.010956065729260445
1743045467.3549695,50,0.010964509099721909
1743045586.505704,51,0.010958668775856495
1743045708.2728806,52,0.010959324426949024
1743045827.843593,53,0.010961754247546196
1743045946.5274456,54,0.010957542806863785
1743046066.158673,55,0.010965191759169102
1743046181.2262383,56,0.01095812488347292
1743046305.4480605,57,0.010959967039525509
1743046435.8351102,58,0.010964924469590187
1743046554.2586224,59,0.01095995306968689
1743046671.8863122,60,0.010959499515593052
1743046790.72429,61,0.010958798229694366
1743046909.6098056,62,0.010961242020130157
1743047033.6218858,63,0.010957839898765087
1743047157.9198759,64,0.010958092287182808
1743047284.3855956,65,0.010956551879644394
1743047403.0776,66,0.010962499305605888
1743047523.5384953,67,0.010964473709464073
1743047646.0775087,68,0.010961612686514854
1743047764.1870968,69,0.010960712097585201
1743047886.6368084,70,0.010961237363517284
1743048007.4811244,71,0.010958603583276272
1743048130.0837457,72,0.010961079970002174
1743048257.6399996,73,0.010962389409542084
1743048383.6611745,74,0.010962260887026787
1743048506.7718568,75,0.010965741239488125
1743048634.904185,76,0.010958914645016193
1743048752.72944,77,0.010961073450744152
1743048874.2886875,78,0.01095997542142868
1743048998.2225516,79,0.01096217893064022
1743049125.193194,80,0.010960808955132961
1743049254.6599026,81,0.010959027335047722
1743049376.363734,82,0.010961423628032207
1743049492.6142695,83,0.010957799851894379
1743049612.9166722,84,0.010956763289868832
1743049732.065945,85,0.01095642801374197
1743049849.8803034,86,0.010959967970848083
1743049970.865796,87,0.010962043888866901
1743050093.5161083,88,0.010961228050291538
1743050216.6590989,89,0.010959391482174397
1743050337.5984051,90,0.010958907194435596
1743050461.1198394,91,0.010958023369312286
1743050586.9718688,92,0.010958954691886902
1743050714.470508,93,0.010960397310554981
1743050840.151452,94,0.010960721410810947
1743050967.9107673,95,0.010957092046737671
1743051096.8103354,96,0.010960518382489681
1743051227.6401865,97,0.01096032839268446
1743051355.8968723,98,0.010963527485728264
1743051488.466724,99,0.010960130020976067
